,Création,Identifier,adress,raisonSociale,madalite,matriculeFiscale,ID,email,ID facture
188,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
189,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
190,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
191,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
192,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
193,2020-05-19T21:28:46.099Z,1412711657000,Route Menzel Chaker km 1.5 3042 Sfax,PROD PHARMA,,1384284 R/M 0000,188100,,164276473000
194,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
195,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
196,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
197,2020-10-01T15:01:22.422Z,38058271000,AV.Farhat Hached GABES,Kipropha,,649492 K P M 000,189750,,164276473000
198,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
199,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
200,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
201,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
202,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
203,2020-05-19T21:28:45.599Z,1400029780000,Rue de la Teinturerie Z.I.Sidi Rezig Megrine,Propha Sud,,522478P/P/M/000,190300,,164276473000
204,2021-02-23T11:32:34.558Z,122048065000,Route National 7  Manouba,COTUPHA,,0000379 K/P/M 000,188550,,164276473000
205,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
206,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
207,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
208,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
209,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
210,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
211,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
212,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
213,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
214,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
215,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
216,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
217,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
218,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
219,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
220,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
221,2020-10-16T11:55:57.800Z,1789596924000,"Avenue El Farabi, Dar Chaabane El Fehri, Nabeul",Galien,,1282400 L/A/M 000,190250,,164276473000
222,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
223,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
224,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
225,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
226,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
227,2020-05-19T21:28:45.599Z,1400029780000,Rue de la Teinturerie Z.I.Sidi Rezig Megrine,Propha Sud,,522478P/P/M/000,190300,,164276473000
228,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
229,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
230,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
231,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
232,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
233,2020-05-19T21:28:46.099Z,1412711657000,Route Menzel Chaker km 1.5 3042 Sfax,PROD PHARMA,,1384284 R/M 0000,188100,,164276473000
234,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
235,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
236,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
237,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
238,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
239,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
240,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
241,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
242,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
243,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
244,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
245,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
246,2020-10-16T11:16:32.559Z,-1136420608000,Rue De Theatre CitÃ© A Lido 8075 Dar Chaabane Fehri-Nabeul,COPHADIS,,1487744 T/P/M 000,190450,,164276473000
247,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
248,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
249,2021-01-10T12:39:49.100Z,1414063469000,109 Avenue farhat hached sfax 30000,pharmacie drira,,1330215HBC000,188650,,164276473000
250,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
251,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
252,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
253,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
254,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
255,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
256,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
257,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
258,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
259,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
260,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
261,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
262,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
263,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
264,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
265,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
266,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
267,2020-05-19T21:28:44.585Z,-1654168826000,Avenue Bourguiba Ksour sef,PHARMA SEF,,1398441/G/P/M 000,188400,,164276473000
268,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
269,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
270,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
271,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
272,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
273,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
274,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
275,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
276,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
277,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
278,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
279,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
280,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
281,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
282,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
283,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
284,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
285,2020-10-16T11:55:57.800Z,1789596924000,"Avenue El Farabi, Dar Chaabane El Fehri, Nabeul",Galien,,1282400 L/A/M 000,190250,,164276473000
286,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
287,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
288,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
289,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
290,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
291,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
292,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
293,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
294,2020-10-16T11:16:32.559Z,-1136420608000,Rue De Theatre CitÃ© A Lido 8075 Dar Chaabane Fehri-Nabeul,COPHADIS,,1487744 T/P/M 000,190450,,164276473000
295,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
296,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
297,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
298,2020-05-19T21:28:46.099Z,1412711657000,Route Menzel Chaker km 1.5 3042 Sfax,PROD PHARMA,,1384284 R/M 0000,188100,,164276473000
299,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
300,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
301,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
302,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
303,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
304,2020-05-19T21:28:46.099Z,1412711657000,Route Menzel Chaker km 1.5 3042 Sfax,PROD PHARMA,,1384284 R/M 0000,188100,,164276473000
305,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
306,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
307,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
308,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
309,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
310,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
311,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
312,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
313,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
314,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
315,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
316,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
317,2020-10-16T14:03:12.048Z,-1152597577000,"Rue Mohamed Eddorra 8062 Nabeul, Tunisie",Cabdephar para,,1495767 Y/A/M 000,188900,,164276473000
318,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
319,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
320,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
321,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
322,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
323,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
324,2020-05-19T21:28:45.599Z,1400029780000,Rue de la Teinturerie Z.I.Sidi Rezig Megrine,Propha Sud,,522478P/P/M/000,190300,,164276473000
325,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
326,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
327,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
328,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
329,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
330,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
331,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
332,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
333,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
334,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
335,2020-05-19T21:28:46.606Z,-1699980274000,Avenue des nations unies Ksar helala,Dephackh,,460189 P/P/M 000,188200,,164276473000
336,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
337,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
338,2020-05-19T21:28:46.099Z,1412711657000,Route Menzel Chaker km 1.5 3042 Sfax,PROD PHARMA,,1384284 R/M 0000,188100,,164276473000
339,2020-10-16T14:03:12.048Z,-1152597577000,"Rue Mohamed Eddorra 8062 Nabeul, Tunisie",Cabdephar para,,1495767 Y/A/M 000,188900,,164276473000
340,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
341,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
342,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
343,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
344,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
345,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
346,2020-10-01T15:01:22.422Z,38058271000,AV.Farhat Hached GABES,Kipropha,,649492 K P M 000,189750,,164276473000
347,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
348,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
349,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
350,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
351,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
352,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
353,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
354,2020-05-19T21:28:46.099Z,1412711657000,Route Menzel Chaker km 1.5 3042 Sfax,PROD PHARMA,,1384284 R/M 0000,188100,,164276473000
355,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
356,2020-05-19T21:28:46.606Z,-1699980274000,Avenue des nations unies Ksar helala,Dephackh,,460189 P/P/M 000,188200,,164276473000
357,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
358,2020-10-16T11:55:57.800Z,1789596924000,"Avenue El Farabi, Dar Chaabane El Fehri, Nabeul",Galien,,1282400 L/A/M 000,190250,,164276473000
359,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
360,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
361,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
362,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
363,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
364,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
365,2020-05-19T21:28:46.099Z,1412711657000,Route Menzel Chaker km 1.5 3042 Sfax,PROD PHARMA,,1384284 R/M 0000,188100,,164276473000
366,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
367,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
368,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
369,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
370,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
371,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
372,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
373,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
374,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
375,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
376,2020-05-19T21:28:46.099Z,1412711657000,Route Menzel Chaker km 1.5 3042 Sfax,PROD PHARMA,,1384284 R/M 0000,188100,,164276473000
